Référence,Nom Module,Abréviation,Coefficient,UE,Semestre,Responsable
OS01,Compléments de théorie des bases de données,CompBD,1.5,UE41,S4,Boussemart
OS11,Compléments d’architecture logicielle ,ArchiLog,1.5,UE41,S4,Leberre
OS10,Fondements de l’informatique décisionnelle,InfoDec,1.5,UE41,S4,Condotta
OS03,Paradigmes de programmation,PFL,1.5,UE41,S4,Salhi
M4106L,Projet tutoré – Compléments,PT-L,2.5,UE41,S4,Hsu
OS06,Compléments d’algorithmique,CompAlgo,1.5,UE41,S4,Chmeiss
OS07,Compléments de mathématiques,CompMath,2,UE42,S4,El Rezzi
M4203L,Expression-communication – Communiquer dans les organisations,Com-L,2,UE42,S4,Condotta
OS09,Traitement de l’information,T-Info,2,UE42,S4,El Rezzi
M4204L,Travailler en anglais,Ang-L,2,UE42,S4,Prensier
M4301,Stage professionnel,Stage,12,UE43,S4,Salhi
,,,,,,
,,,,,,
UE41,Compléments d'informatique,10,,,,
UE42,"Compléments de culture scientifique, sociale et humaine",8,,,,
UE43,Mise en situation professionnelle,12,,,,
,,,,,,
Département,INFO,,,,,
Année,INFO2,,,,,
Date de début,23/01/2017,,,,,
Date de fin ,31/06/2017,,,,,
Semestre,S4,,,,,
